#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
12    1563439873.72    1563439873.72    0.000999927520752    16    0.6835    10.936    0.684499927521    0.0    0
13    1563439876.74    1563439876.74    0.000999927520752    64    4.3334    277.3376    4.33439992752    0.0    0
14    1563439876.74    1563439876.94    0.194000005722    32    1.2694    40.6208    1.46340000572    0.0    0
15    1563439876.75    1563439876.98    0.234999895096    64    0.3635    23.264    0.598499895096    0.0    0
16    1563439876.76    1563439877.2    0.445999860764    64    4.3333    277.3312    4.77929986076    0.0    0
17    1563439876.76    1563439877.42    0.661999940872    64    0.0132    0.8448    0.675199940872    0.0    0
18    1563439876.76    1563439877.64    0.880000114441    64    4.3333    277.3312    5.21330011444    0.0    0
19    1563439877.03    1563439877.87    0.832000017166    30    0.2368    7.104    1.06880001717    0.0    0
20    1563439877.69    1563439877.91    0.217000007629    32    0.304    9.728    0.521000007629    0.0    0
21    1563439877.73    1563439877.96    0.228999853134    1    3.1071    3.1071    3.33609985313    0.0    0
22    1563439877.93    1563439877.96    0.0310001373291    30    0.8866    26.598    0.917600137329    0.0    0
23    1563439877.95    1563439878.01    0.0590000152588    32    4.3335    138.672    4.39250001526    0.0    0
24    1563439877.95    1563439878.06    0.108000040054    32    3.063    98.016    3.17100004005    0.0    0
25    1563439878.0    1563439878.11    0.104000091553    1    0.0589    0.0589    0.162900091553    0.0    0
26    1563439878.22    1563439878.22    0.0    1    0.0422    0.0422    0.0422    0.0    0
27    1563439878.26    1563439878.26    0.0    32    0.4274    13.6768    0.4274    0.0    0
28    1563439878.39    1563439878.39    0.0    16    3.0317    48.5072    3.0317    0.0    0
29    1563439878.39    1563439878.4    0.00899982452393    16    3.0958    49.5328    3.10479982452    0.0    0
30    1563439878.69    1563439878.69    0.0    1    0.0527    0.0527    0.0527    0.0    0
31    1563439878.83    1563439878.83    0.0    30    1.101    33.03    1.101    0.0    0
32    1563439878.86    1563439878.87    0.0160000324249    1    0.0423    0.0423    0.0583000324249    0.0    0
33    1563439878.9    1563439878.9    0.0    32    0.3257    10.4224    0.3257    0.0    0
34    1563439879.23    1563439879.23    0.00100016593933    1    0.0522    0.0522    0.0532001659393    0.0    0
35    1563439879.4    1563439879.4    0.0    1    0.0427    0.0427    0.0427    0.0    0
36    1563439879.44    1563439879.44    0.000999927520752    32    0.2813    9.0016    0.282299927521    0.0    0
37    1563439879.72    1563439879.72    0.0    1    0.0549    0.0549    0.0549    0.0    0
38    1563439879.89    1563439879.89    0.0    1    0.0433    0.0433    0.0433    0.0    0
