,aspl,diameter,hosts,number of nodes,switches
142,2.98991935484,4,"[1024, 1153, 1058, 1739, 1262, 1167, 1268, 1979, 1052, 1026, 1507, 1740, 1071, 1237, 1820, 1341, 1185, 1187, 1348, 1773, 1430, 1629, 1470, 2017, 1701, 1296, 1590, 1591, 2032, 1631, 1961, 1228]",32,"[0, 129, 34, 715, 238, 143, 244, 955, 28, 2, 483, 716, 47, 213, 796, 317, 161, 163, 324, 749, 406, 605, 446, 993, 677, 272, 566, 567, 1008, 607, 937, 204]"
143,1.5,2,"[1389, 1960, 1291, 1260]",4,"[365, 936, 267, 236]"
144,3.09879032258,4,"[1391, 1248, 1473, 1962, 1037, 1075, 1658, 1435, 1377, 1282, 1963, 1486, 1492, 1691, 1276, 1344, 1346, 1315, 1548, 1628, 1149, 1792, 1860, 2038, 1855, 1451, 1422, 1361, 1944, 1465, 1031, 1614]",32,"[367, 224, 449, 938, 13, 51, 634, 411, 353, 258, 939, 462, 468, 667, 252, 320, 322, 291, 524, 604, 125, 768, 836, 1014, 831, 427, 398, 337, 920, 441, 7, 590]"
145,0.0,0,[1024],1,[0]
146,3.04032258065,4,"[1153, 1026, 1507, 1740, 1071, 1237, 1820, 1341, 1504, 1155, 1316, 1741, 1398, 1597, 1438, 1378, 1380, 1093, 1582, 1463, 2046, 1311, 1826, 1894, 2001, 2032, 1073, 1687, 1688, 1440, 1642, 1229]",32,"[129, 2, 483, 716, 47, 213, 796, 317, 480, 131, 292, 717, 374, 573, 414, 354, 356, 69, 558, 439, 1022, 287, 802, 870, 977, 1008, 49, 663, 664, 416, 618, 205]"
147,2.98991935484,4,"[1024, 1153, 1058, 1739, 1262, 1167, 1268, 1979, 1052, 1026, 1507, 1740, 1071, 1237, 1820, 1341, 1185, 1187, 1348, 1773, 1430, 1629, 1470, 2017, 1701, 1296, 1590, 1591, 2032, 1631, 1961, 1228]",32,"[0, 129, 34, 715, 238, 143, 244, 955, 28, 2, 483, 716, 47, 213, 796, 317, 161, 163, 324, 749, 406, 605, 446, 993, 677, 272, 566, 567, 1008, 607, 937, 204]"
148,3.75446428571,5,"[1389, 1960, 1291, 1260, 1231, 1201, 1784, 1305, 1602, 1550, 1652, 2012, 1053, 1862, 1449, 1162, 1164, 1814, 1247, 1959, 1482, 1387, 1294, 1943, 1528, 1088, 1313, 1802, 1102, 1427, 2010, 1275, 1868, 1072, 1074, 1043, 1788, 1119, 1987, 1988, 1836, 1805, 1938, 1213, 1886, 1956, 1876, 1207, 1176, 1178, 1147, 1031, 2007, 2028, 1782, 1335, 1693, 1694, 1892, 1523, 1970, 1683, 1881, 1882]",64,"[365, 936, 267, 236, 207, 177, 760, 281, 578, 526, 628, 988, 29, 838, 425, 138, 140, 790, 223, 935, 458, 363, 270, 919, 504, 64, 289, 778, 78, 403, 986, 251, 844, 48, 50, 19, 764, 95, 963, 964, 812, 781, 914, 189, 862, 932, 852, 183, 152, 154, 123, 7, 983, 1004, 758, 311, 669, 670, 868, 499, 946, 659, 857, 858]"
149,0.0,0,[1389],1,[365]
150,3.73313492063,5,"[1391, 1248, 1473, 1962, 1037, 1075, 1658, 1435, 1377, 1282, 1963, 1486, 1492, 1691, 1276, 1344, 1346, 1315, 1548, 1628, 1149, 1792, 1860, 2038, 1855, 1451, 1422, 1361, 1944, 1465, 1031, 1614, 1458, 1460, 1173, 1662, 1733, 1734, 1838, 1556, 1958, 1223, 2006, 1081, 1306, 1308, 1533, 1250, 1219, 1964, 1295, 2044, 1053, 1409, 1411, 1997, 1142, 1853, 1182, 1744, 1925, 1520, 1814, 1815]",64,"[367, 224, 449, 938, 13, 51, 634, 411, 353, 258, 939, 462, 468, 667, 252, 320, 322, 291, 524, 604, 125, 768, 836, 1014, 831, 427, 398, 337, 920, 441, 7, 590, 434, 436, 149, 638, 709, 710, 814, 532, 934, 199, 982, 57, 282, 284, 509, 226, 195, 940, 271, 1020, 29, 385, 387, 973, 118, 829, 158, 720, 901, 496, 790, 791]"
151,2.98991935484,4,"[1024, 1153, 1058, 1739, 1262, 1167, 1268, 1979, 1052, 1026, 1507, 1740, 1071, 1237, 1820, 1341, 1185, 1187, 1348, 1773, 1430, 1629, 1470, 2017, 1701, 1296, 1590, 1591, 2032, 1631, 1961, 1228]",32,"[0, 129, 34, 715, 238, 143, 244, 955, 28, 2, 483, 716, 47, 213, 796, 317, 161, 163, 324, 749, 406, 605, 446, 993, 677, 272, 566, 567, 1008, 607, 937, 204]"
152,3.75446428571,5,"[1389, 1960, 1291, 1260, 1231, 1201, 1784, 1305, 1602, 1550, 1652, 2012, 1053, 1862, 1449, 1162, 1164, 1814, 1247, 1959, 1482, 1387, 1294, 1943, 1528, 1088, 1313, 1802, 1102, 1427, 2010, 1275, 1868, 1072, 1074, 1043, 1788, 1119, 1987, 1988, 1836, 1805, 1938, 1213, 1886, 1956, 1876, 1207, 1176, 1178, 1147, 1031, 2007, 2028, 1782, 1335, 1693, 1694, 1892, 1523, 1970, 1683, 1881, 1882]",64,"[365, 936, 267, 236, 207, 177, 760, 281, 578, 526, 628, 988, 29, 838, 425, 138, 140, 790, 223, 935, 458, 363, 270, 919, 504, 64, 289, 778, 78, 403, 986, 251, 844, 48, 50, 19, 764, 95, 963, 964, 812, 781, 914, 189, 862, 932, 852, 183, 152, 154, 123, 7, 983, 1004, 758, 311, 669, 670, 868, 499, 946, 659, 857, 858]"
153,3.45535714286,4,"[1024, 1153, 1058, 1739, 1262, 1167, 1268, 1979, 1052, 1026, 1507, 1740, 1071, 1237, 1820, 1341, 1185, 1187, 1348, 1773, 1430, 1629, 1470, 2017, 1701, 1296, 1590, 1591, 2032, 1631, 1961, 1228, 1391, 1362, 1561, 1402, 1249, 1738, 1325, 1038, 1363, 1946, 1211, 1256, 1967, 1490, 1395, 1397, 1302, 1983, 1760, 1830, 1831, 1871, 1264, 1745, 1941, 1735, 1320, 1751, 1274, 1179, 1181, 1086]",64,"[0, 129, 34, 715, 238, 143, 244, 955, 28, 2, 483, 716, 47, 213, 796, 317, 161, 163, 324, 749, 406, 605, 446, 993, 677, 272, 566, 567, 1008, 607, 937, 204, 367, 338, 537, 378, 225, 714, 301, 14, 339, 922, 187, 232, 943, 466, 371, 373, 278, 959, 736, 806, 807, 847, 240, 721, 917, 711, 296, 727, 250, 155, 157, 62]"
154,0.0,0,[1389],1,[365]
155,0.0,0,[1296],1,[272]
156,0.0,0,[1024],1,[0]
157,0.0,0,[1153],1,[129]
158,0.0,0,[1058],1,[34]
159,3.76091269841,5,"[1739, 2017, 1701, 1590, 1591, 2032, 1631, 1206, 1318, 1543, 2037, 1686, 1756, 1757, 1514, 1935, 1680, 1681, 1977, 1146, 1626, 1921, 1922, 2026, 1067, 2000, 1531, 1948, 1698, 1699, 1644, 1420, 1553, 1404, 1885, 1572, 1541, 1461, 1622, 1690, 1125, 1763, 1444, 1738, 1428, 1909, 1593, 1668, 1346, 1322, 1905, 1172, 1333, 1335, 1496, 1284, 1445, 1447, 1096, 1617, 1458, 1434, 1596, 1356]",64,"[715, 993, 677, 566, 567, 1008, 607, 182, 294, 519, 1013, 662, 732, 733, 490, 911, 656, 657, 953, 122, 602, 897, 898, 1002, 43, 976, 507, 924, 674, 675, 620, 396, 529, 380, 861, 548, 517, 437, 598, 666, 101, 739, 420, 714, 404, 885, 569, 644, 322, 298, 881, 148, 309, 311, 472, 260, 421, 423, 72, 593, 434, 410, 572, 332]"
