#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
16    1562291459.33    1562291459.33    3.2901763916e-05    16    0.8805    14.088    0.880532901764    2.65    4
17    1562291459.69    1562291459.69    3.09944152832e-05    4    0.6452    2.5808    0.645230994415    1.5    2
18    1562291459.82    1562291459.83    0.00779891014099    64    0.4167    26.6688    0.424498910141    3.88392857143    6
19    1562291459.99    1562291461.09    1.10019612312    256    0.6189    158.4384    1.71909612312    5.15713848039    8
20    1562291460.17    1562291461.09    0.916684150696    4    0.0832    0.3328    0.999884150696    1.5    2
21    1562291460.22    1562291461.09    0.875030040741    4    0.0832    0.3328    0.958230040741    1.5    2
22    1562291460.53    1562291461.09    0.559614896774    4    0.0522    0.2088    0.611814896774    1.5    2
23    1562291460.86    1562291461.09    0.229708909988    4    1.1283    4.5132    1.35800890999    1.5    2
24    1562291461.19    1562291461.24    0.0526790618896    64    0.9446    60.4544    0.99727906189    4.07837301587    6
25    1562291461.98    1562291463.15    1.17755794525    256    0.0177    4.5312    1.19525794525    4.98737745098    7
26    1562291462.12    1562291463.16    1.03511118889    16    0.0285    0.456    1.06361118889    2.58333333333    4
27    1562291462.43    1562291463.23    0.79888510704    64    0.0234    1.4976    0.82228510704    4.17757936508    6
28    1562291462.66    1562291464.29    1.62665700912    256    0.6189    158.4384    2.24555700912    4.98195465686    7
29    1562291463.15    1562291464.29    1.13856506348    4    0.5956    2.3824    1.73416506348    1.5    2
30    1562291463.69    1562291465.55    1.86240100861    256    0.0057    1.4592    1.86810100861    5.20821078431    8
31    1562291463.95    1562291465.64    1.68943500519    64    0.0234    1.4976    1.71283500519    3.89484126984    6
32    1562291464.52    1562291465.72    1.19433999062    64    0.4167    26.6688    1.61103999062    3.97767857143    6
33    1562291464.79    1562291465.79    0.993186950684    64    0.4167    26.6688    1.40988695068    3.89484126984    6
34    1562291465.09    1562291465.86    0.769240856171    64    0.9446    60.4544    1.71384085617    3.96626984127    6
35    1562291465.39    1562291467.06    1.67003917694    256    0.6189    158.4384    2.28893917694    5.10949754902    8
36    1562291465.55    1562291468.29    2.73444104195    256    0.0057    1.4592    2.74014104195    5.00775122549    8
37    1562291465.69    1562291468.29    2.60289406776    16    0.0285    0.456    2.63139406776    2.58333333333    4
38    1562291466.03    1562291468.29    2.26355409622    4    0.0522    0.2088    2.31575409622    1.5    2
39    1562291466.46    1562291468.3    1.84164500237    16    0.4243    6.7888    2.26594500237    2.625    4
40    1562291466.8    1562291468.38    1.57751202583    64    0.4167    26.6688    1.99421202583    3.89484126984    6
41    1562291467.06    1562291468.39    1.32269501686    16    0.0297    0.4752    1.35239501686    2.58333333333    4
42    1562291467.31    1562291468.39    1.07883501053    16    0.0285    0.456    1.10733501053    2.56666666667    4
43    1562291467.69    1562291468.39    0.699947834015    4    0.6452    2.5808    1.34514783401    1.5    2
44    1562291467.72    1562291468.39    0.676337003708    4    0.0059    0.0236    0.682237003708    1.5    2
45    1562291467.73    1562291469.58    1.85468196869    256    0.0057    1.4592    1.86038196869    5.08514093137    8
46    1562291467.75    1562291469.58    1.83560419083    4    0.0284    0.1136    1.86400419083    1.5    2
47    1562291468.2    1562291470.83    2.62697100639    256    0.6189    158.4384    3.24587100639    5.1609375    8
48    1562291468.29    1562291470.83    2.54367017746    4    0.0832    0.3328    2.62687017746    1.5    2
49    1562291468.33    1562291470.84    2.50216603279    16    0.7616    12.1856    3.26376603279    2.525    4
